,actual,predicted
386,no_trend,up_trend
387,up_trend,down_trend
388,down_trend,up_trend
389,up_trend,no_trend
390,no_trend,no_trend
391,no_trend,up_trend
392,no_trend,no_trend
393,no_trend,no_trend
394,up_trend,up_trend
395,no_trend,up_trend
396,no_trend,up_trend
397,no_trend,up_trend
398,up_trend,down_trend
399,down_trend,no_trend
400,no_trend,down_trend
401,no_trend,no_trend
402,no_trend,up_trend
403,no_trend,up_trend
404,up_trend,no_trend
405,up_trend,up_trend
406,no_trend,no_trend
407,no_trend,no_trend
408,no_trend,no_trend
409,no_trend,down_trend
410,up_trend,no_trend
411,no_trend,up_trend
412,no_trend,no_trend
413,down_trend,no_trend
414,no_trend,up_trend
415,no_trend,no_trend
416,no_trend,down_trend
417,no_trend,no_trend
418,up_trend,up_trend
419,down_trend,up_trend
420,no_trend,up_trend
421,no_trend,no_trend
422,no_trend,no_trend
423,no_trend,down_trend
424,no_trend,up_trend
425,up_trend,no_trend
426,no_trend,no_trend
427,down_trend,no_trend
428,no_trend,no_trend
429,no_trend,down_trend
430,up_trend,down_trend
431,up_trend,up_trend
432,no_trend,no_trend
433,no_trend,no_trend
434,no_trend,up_trend
435,no_trend,no_trend
436,no_trend,no_trend
437,no_trend,up_trend
438,no_trend,up_trend
439,no_trend,down_trend
440,up_trend,no_trend
441,down_trend,up_trend
442,up_trend,up_trend
443,no_trend,up_trend
444,no_trend,down_trend
445,no_trend,no_trend
446,no_trend,up_trend
447,no_trend,up_trend
448,down_trend,up_trend
449,down_trend,up_trend
450,up_trend,no_trend
451,up_trend,up_trend
452,down_trend,up_trend
453,no_trend,up_trend
454,no_trend,up_trend
455,up_trend,up_trend
456,up_trend,up_trend
457,no_trend,up_trend
458,no_trend,no_trend
459,no_trend,up_trend
460,no_trend,up_trend
461,no_trend,up_trend
462,no_trend,no_trend
463,no_trend,up_trend
464,no_trend,no_trend
465,no_trend,down_trend
466,up_trend,no_trend
467,no_trend,no_trend
468,up_trend,no_trend
469,no_trend,no_trend
470,no_trend,up_trend
471,no_trend,no_trend
472,no_trend,no_trend
473,up_trend,down_trend
474,no_trend,no_trend
475,down_trend,no_trend
476,no_trend,no_trend
477,no_trend,no_trend
478,no_trend,up_trend
479,up_trend,up_trend
480,no_trend,no_trend
481,no_trend,up_trend
482,no_trend,up_trend
483,up_trend,up_trend
484,no_trend,up_trend
485,no_trend,down_trend
486,no_trend,up_trend
487,no_trend,no_trend
488,no_trend,up_trend
489,up_trend,up_trend
490,down_trend,no_trend
491,up_trend,no_trend
492,down_trend,up_trend
493,no_trend,up_trend
494,no_trend,up_trend
495,no_trend,no_trend
496,down_trend,no_trend
497,down_trend,no_trend
498,no_trend,no_trend
499,no_trend,down_trend
500,down_trend,up_trend
501,up_trend,up_trend
502,no_trend,no_trend
503,no_trend,no_trend
504,no_trend,no_trend
505,no_trend,up_trend
506,no_trend,no_trend
507,no_trend,down_trend
508,up_trend,up_trend
509,no_trend,no_trend
510,up_trend,up_trend
511,up_trend,down_trend
512,no_trend,no_trend
513,down_trend,no_trend
514,down_trend,no_trend
515,no_trend,no_trend
516,no_trend,no_trend
517,no_trend,no_trend
518,no_trend,up_trend
519,no_trend,down_trend
520,up_trend,down_trend
521,no_trend,up_trend
522,down_trend,no_trend
523,up_trend,down_trend
524,no_trend,up_trend
525,down_trend,down_trend
526,up_trend,no_trend
527,up_trend,no_trend
528,up_trend,no_trend
529,down_trend,no_trend
530,no_trend,down_trend
531,down_trend,no_trend
532,no_trend,no_trend
533,no_trend,up_trend
534,no_trend,down_trend
535,up_trend,down_trend
536,down_trend,up_trend
537,no_trend,no_trend
538,no_trend,up_trend
539,up_trend,down_trend
540,up_trend,down_trend
541,no_trend,no_trend
542,no_trend,up_trend
543,no_trend,no_trend
544,no_trend,down_trend
545,no_trend,up_trend
546,no_trend,up_trend
547,no_trend,no_trend
548,down_trend,no_trend
549,no_trend,up_trend
550,no_trend,up_trend
551,no_trend,up_trend
552,no_trend,up_trend
553,up_trend,down_trend
554,no_trend,no_trend
555,up_trend,up_trend
556,no_trend,no_trend
557,no_trend,up_trend
558,no_trend,no_trend
559,no_trend,up_trend
560,no_trend,no_trend
561,down_trend,no_trend
562,no_trend,up_trend
563,no_trend,down_trend
564,no_trend,no_trend
565,no_trend,no_trend
566,up_trend,down_trend
567,no_trend,no_trend
568,up_trend,up_trend
569,down_trend,up_trend
570,up_trend,no_trend
571,no_trend,up_trend
572,no_trend,no_trend
573,down_trend,up_trend
574,no_trend,no_trend
575,no_trend,no_trend
576,no_trend,up_trend
577,no_trend,up_trend
578,no_trend,no_trend
579,no_trend,no_trend
580,up_trend,up_trend
581,no_trend,no_trend
582,up_trend,up_trend
583,up_trend,up_trend
584,up_trend,down_trend
585,no_trend,no_trend
586,no_trend,down_trend
587,no_trend,up_trend
588,no_trend,up_trend
589,no_trend,up_trend
590,up_trend,down_trend
591,down_trend,down_trend
592,no_trend,no_trend
593,up_trend,no_trend
594,no_trend,up_trend
595,no_trend,no_trend
596,down_trend,up_trend
597,no_trend,no_trend
598,no_trend,no_trend
599,no_trend,down_trend
600,down_trend,up_trend
601,no_trend,up_trend
602,no_trend,up_trend
603,down_trend,no_trend
604,no_trend,up_trend
605,up_trend,up_trend
606,up_trend,up_trend
607,no_trend,up_trend
608,up_trend,up_trend
609,no_trend,down_trend
610,no_trend,up_trend
611,down_trend,down_trend
612,no_trend,down_trend
613,up_trend,no_trend
614,no_trend,no_trend
615,no_trend,up_trend
616,down_trend,down_trend
617,up_trend,no_trend
618,no_trend,up_trend
619,down_trend,down_trend
620,no_trend,down_trend
621,no_trend,no_trend
622,no_trend,no_trend
623,no_trend,down_trend
624,no_trend,up_trend
625,no_trend,up_trend
626,down_trend,down_trend
627,no_trend,no_trend
628,no_trend,no_trend
629,no_trend,no_trend
630,up_trend,no_trend
631,no_trend,no_trend
632,no_trend,up_trend
633,down_trend,no_trend
634,up_trend,no_trend
635,no_trend,up_trend
636,up_trend,up_trend
637,no_trend,down_trend
638,no_trend,up_trend
639,down_trend,no_trend
640,no_trend,no_trend
641,up_trend,up_trend
642,no_trend,down_trend
643,no_trend,no_trend
644,no_trend,no_trend
645,down_trend,no_trend
646,no_trend,no_trend
647,no_trend,up_trend
648,down_trend,no_trend
649,no_trend,up_trend
650,no_trend,up_trend
651,no_trend,no_trend
652,no_trend,down_trend
653,no_trend,up_trend
654,no_trend,up_trend
655,up_trend,up_trend
656,no_trend,no_trend
657,no_trend,down_trend
658,no_trend,up_trend
659,no_trend,up_trend
660,no_trend,up_trend
661,no_trend,up_trend
662,no_trend,up_trend
663,down_trend,down_trend
664,no_trend,up_trend
665,no_trend,no_trend
666,no_trend,up_trend
667,no_trend,up_trend
668,no_trend,no_trend
669,no_trend,down_trend
670,up_trend,no_trend
671,no_trend,down_trend
672,no_trend,up_trend
673,down_trend,no_trend
674,no_trend,no_trend
675,no_trend,no_trend
676,no_trend,no_trend
677,up_trend,down_trend
678,down_trend,down_trend
679,no_trend,no_trend
680,no_trend,up_trend
681,no_trend,up_trend
682,no_trend,no_trend
683,down_trend,down_trend
684,down_trend,up_trend
685,up_trend,up_trend
686,up_trend,no_trend
687,down_trend,down_trend
688,up_trend,no_trend
689,no_trend,no_trend
690,no_trend,up_trend
691,no_trend,no_trend
692,down_trend,down_trend
693,up_trend,no_trend
694,up_trend,down_trend
695,no_trend,up_trend
696,no_trend,up_trend
697,up_trend,down_trend
698,no_trend,up_trend
699,up_trend,up_trend
700,no_trend,no_trend
701,no_trend,no_trend
702,no_trend,no_trend
703,no_trend,up_trend
704,no_trend,down_trend
705,no_trend,up_trend
706,no_trend,up_trend
707,no_trend,down_trend
708,up_trend,no_trend
709,no_trend,up_trend
710,no_trend,down_trend
711,no_trend,up_trend
712,up_trend,up_trend
713,no_trend,up_trend
714,no_trend,no_trend
715,no_trend,no_trend
716,no_trend,down_trend
717,no_trend,no_trend
718,no_trend,no_trend
719,no_trend,down_trend
720,no_trend,no_trend
721,no_trend,down_trend
722,no_trend,down_trend
723,no_trend,up_trend
724,no_trend,no_trend
725,no_trend,down_trend
726,no_trend,no_trend
727,no_trend,no_trend
728,no_trend,no_trend
729,no_trend,no_trend
730,down_trend,up_trend
731,no_trend,no_trend
732,no_trend,no_trend
733,no_trend,no_trend
734,up_trend,up_trend
735,no_trend,no_trend
736,up_trend,no_trend
737,no_trend,down_trend
738,no_trend,no_trend
739,down_trend,no_trend
740,no_trend,no_trend
741,no_trend,up_trend
742,up_trend,up_trend
743,up_trend,up_trend
744,no_trend,up_trend
745,no_trend,no_trend
746,no_trend,up_trend
747,no_trend,no_trend
748,no_trend,up_trend
749,no_trend,up_trend
750,no_trend,no_trend
751,no_trend,up_trend
752,no_trend,up_trend
753,no_trend,up_trend
754,no_trend,down_trend
755,no_trend,no_trend
756,no_trend,no_trend
757,up_trend,up_trend
758,no_trend,up_trend
759,no_trend,no_trend
760,no_trend,up_trend
761,no_trend,no_trend
762,down_trend,up_trend
763,no_trend,no_trend
764,no_trend,no_trend
765,no_trend,up_trend
766,no_trend,no_trend
767,no_trend,no_trend
768,down_trend,no_trend
769,no_trend,no_trend
770,down_trend,up_trend
771,no_trend,no_trend
772,no_trend,up_trend
773,no_trend,down_trend
774,up_trend,no_trend
775,up_trend,down_trend
776,no_trend,no_trend
777,no_trend,no_trend
778,no_trend,up_trend
779,no_trend,up_trend
780,no_trend,no_trend
781,no_trend,no_trend
782,no_trend,up_trend
783,no_trend,up_trend
784,no_trend,no_trend
785,no_trend,no_trend
786,no_trend,no_trend
787,no_trend,no_trend
788,no_trend,no_trend
789,no_trend,no_trend
790,no_trend,no_trend
791,up_trend,no_trend
792,no_trend,up_trend
793,up_trend,no_trend
794,no_trend,no_trend
795,no_trend,no_trend
796,no_trend,no_trend
797,no_trend,no_trend
798,no_trend,no_trend
799,up_trend,no_trend
800,no_trend,no_trend
801,up_trend,no_trend
802,no_trend,no_trend
803,no_trend,no_trend
804,no_trend,up_trend
805,no_trend,down_trend
806,no_trend,no_trend
807,up_trend,up_trend
808,no_trend,no_trend
809,no_trend,down_trend
810,up_trend,no_trend
811,no_trend,up_trend
812,no_trend,no_trend
813,no_trend,no_trend
814,no_trend,no_trend
815,no_trend,no_trend
816,no_trend,no_trend
817,no_trend,up_trend
818,down_trend,up_trend
819,down_trend,no_trend
820,no_trend,no_trend
821,no_trend,no_trend
822,no_trend,no_trend
823,up_trend,down_trend
824,down_trend,no_trend
825,no_trend,down_trend
826,up_trend,up_trend
827,no_trend,up_trend
828,no_trend,no_trend
829,no_trend,no_trend
830,up_trend,no_trend
831,no_trend,no_trend
832,no_trend,up_trend
833,no_trend,no_trend
834,no_trend,no_trend
835,no_trend,no_trend
836,up_trend,no_trend
837,no_trend,up_trend
838,no_trend,no_trend
839,down_trend,down_trend
840,down_trend,down_trend
841,no_trend,no_trend
842,up_trend,no_trend
843,no_trend,no_trend
844,no_trend,down_trend
845,no_trend,no_trend
846,no_trend,no_trend
847,no_trend,up_trend
848,no_trend,no_trend
849,no_trend,no_trend
850,down_trend,no_trend
851,up_trend,up_trend
852,no_trend,up_trend
853,no_trend,no_trend
854,up_trend,down_trend
855,no_trend,up_trend
856,no_trend,no_trend
857,no_trend,up_trend
858,no_trend,no_trend
859,no_trend,no_trend
860,no_trend,up_trend
861,up_trend,down_trend
862,up_trend,up_trend
863,no_trend,no_trend
864,no_trend,no_trend
865,no_trend,down_trend
866,no_trend,up_trend
867,no_trend,no_trend
868,no_trend,no_trend
869,no_trend,up_trend
870,no_trend,up_trend
871,no_trend,down_trend
872,no_trend,up_trend
873,up_trend,up_trend
874,no_trend,no_trend
875,no_trend,no_trend
876,up_trend,up_trend
877,no_trend,no_trend
878,no_trend,up_trend
879,down_trend,no_trend
880,no_trend,no_trend
881,no_trend,up_trend
882,up_trend,down_trend
883,no_trend,down_trend
884,up_trend,no_trend
885,no_trend,up_trend
886,up_trend,no_trend
887,up_trend,up_trend
888,no_trend,no_trend
889,no_trend,up_trend
890,no_trend,up_trend
891,down_trend,down_trend
892,no_trend,no_trend
893,no_trend,no_trend
894,down_trend,up_trend
895,no_trend,no_trend
896,down_trend,down_trend
897,no_trend,no_trend
898,down_trend,up_trend
899,no_trend,no_trend
900,no_trend,up_trend
901,no_trend,no_trend
902,no_trend,no_trend
903,no_trend,up_trend
904,no_trend,down_trend
905,no_trend,up_trend
906,down_trend,down_trend
907,no_trend,up_trend
908,up_trend,no_trend
909,down_trend,up_trend
910,up_trend,up_trend
911,no_trend,no_trend
912,no_trend,no_trend
913,no_trend,up_trend
914,up_trend,down_trend
915,no_trend,no_trend
916,no_trend,up_trend
917,no_trend,no_trend
918,no_trend,down_trend
919,down_trend,no_trend
920,no_trend,up_trend
921,no_trend,no_trend
922,up_trend,up_trend
923,no_trend,up_trend
924,no_trend,no_trend
925,no_trend,no_trend
926,no_trend,up_trend
927,up_trend,up_trend
928,down_trend,up_trend
929,up_trend,up_trend
930,no_trend,no_trend
931,down_trend,up_trend
932,no_trend,no_trend
933,no_trend,no_trend
934,no_trend,up_trend
935,no_trend,up_trend
936,up_trend,no_trend
937,no_trend,no_trend
938,no_trend,no_trend
939,up_trend,up_trend
940,no_trend,up_trend
941,no_trend,up_trend
942,no_trend,up_trend
943,no_trend,up_trend
944,no_trend,no_trend
945,no_trend,no_trend
946,no_trend,up_trend
947,up_trend,down_trend
948,no_trend,no_trend
949,up_trend,down_trend
950,no_trend,no_trend
951,no_trend,no_trend
952,no_trend,up_trend
953,up_trend,down_trend
954,no_trend,down_trend
955,no_trend,up_trend
956,no_trend,up_trend
957,down_trend,up_trend
958,down_trend,no_trend
959,no_trend,no_trend
960,no_trend,no_trend
961,no_trend,up_trend
962,no_trend,up_trend
963,no_trend,up_trend
964,down_trend,down_trend
965,no_trend,no_trend
966,no_trend,no_trend
967,no_trend,no_trend
968,no_trend,no_trend
969,no_trend,no_trend
970,down_trend,no_trend
971,down_trend,no_trend
972,down_trend,no_trend
973,no_trend,no_trend
974,no_trend,no_trend
975,no_trend,up_trend
976,no_trend,no_trend
977,up_trend,up_trend
978,no_trend,no_trend
979,no_trend,up_trend
980,up_trend,up_trend
981,no_trend,up_trend
982,no_trend,up_trend
983,no_trend,no_trend
984,no_trend,no_trend
985,no_trend,down_trend
986,no_trend,up_trend
987,no_trend,no_trend
988,down_trend,up_trend
989,no_trend,no_trend
990,no_trend,up_trend
991,no_trend,up_trend
992,up_trend,up_trend
993,no_trend,up_trend
994,no_trend,no_trend
995,no_trend,no_trend
996,no_trend,up_trend
997,no_trend,up_trend
998,up_trend,up_trend
999,no_trend,no_trend
1000,no_trend,up_trend
1001,no_trend,down_trend
1002,no_trend,up_trend
1003,up_trend,no_trend
1004,no_trend,down_trend
1005,no_trend,no_trend
1006,no_trend,up_trend
1007,up_trend,up_trend
1008,no_trend,no_trend
1009,no_trend,no_trend
1010,no_trend,no_trend
1011,no_trend,down_trend
1012,no_trend,down_trend
1013,up_trend,no_trend
1014,no_trend,no_trend
1015,up_trend,up_trend
1016,no_trend,no_trend
1017,no_trend,down_trend
1018,up_trend,up_trend
1019,down_trend,no_trend
1020,no_trend,up_trend
1021,no_trend,up_trend
1022,down_trend,no_trend
1023,no_trend,down_trend
1024,down_trend,no_trend
1025,down_trend,down_trend
1026,no_trend,no_trend
1027,no_trend,no_trend
1028,no_trend,down_trend
1029,down_trend,down_trend
1030,no_trend,no_trend
1031,no_trend,up_trend
1032,no_trend,no_trend
1033,no_trend,up_trend
1034,no_trend,no_trend
1035,no_trend,no_trend
1036,up_trend,up_trend
1037,down_trend,up_trend
1038,no_trend,up_trend
1039,down_trend,down_trend
1040,no_trend,no_trend
1041,no_trend,up_trend
1042,no_trend,up_trend
1043,no_trend,no_trend
1044,no_trend,no_trend
1045,down_trend,no_trend
1046,up_trend,down_trend
1047,up_trend,no_trend
1048,up_trend,down_trend
1049,up_trend,no_trend
1050,no_trend,no_trend
1051,no_trend,no_trend
1052,no_trend,no_trend
1053,no_trend,down_trend
1054,no_trend,no_trend
1055,down_trend,up_trend
1056,no_trend,down_trend
1057,down_trend,down_trend
1058,up_trend,no_trend
1059,no_trend,no_trend
1060,down_trend,up_trend
1061,up_trend,no_trend
1062,no_trend,up_trend
1063,no_trend,up_trend
1064,down_trend,no_trend
1065,no_trend,down_trend
1066,up_trend,up_trend
1067,no_trend,no_trend
1068,no_trend,no_trend
1069,no_trend,no_trend
1070,up_trend,no_trend
1071,no_trend,up_trend
1072,no_trend,no_trend
1073,down_trend,up_trend
1074,up_trend,no_trend
1075,no_trend,up_trend
1076,no_trend,no_trend
1077,down_trend,down_trend
1078,no_trend,up_trend
1079,up_trend,up_trend
1080,up_trend,no_trend
1081,down_trend,no_trend
1082,up_trend,no_trend
1083,no_trend,up_trend
1084,no_trend,up_trend
1085,up_trend,up_trend
1086,no_trend,down_trend
1087,no_trend,no_trend
1088,up_trend,no_trend
1089,up_trend,no_trend
1090,down_trend,no_trend
1091,no_trend,down_trend
1092,no_trend,up_trend
1093,no_trend,down_trend
1094,no_trend,up_trend
1095,no_trend,no_trend
1096,no_trend,no_trend
1097,no_trend,no_trend
1098,no_trend,no_trend
1099,no_trend,up_trend
1100,no_trend,no_trend
1101,no_trend,up_trend
1102,no_trend,up_trend
1103,no_trend,no_trend
1104,no_trend,down_trend
1105,up_trend,up_trend
1106,up_trend,up_trend
1107,no_trend,up_trend
1108,no_trend,up_trend
1109,no_trend,no_trend
1110,no_trend,no_trend
1111,no_trend,up_trend
1112,no_trend,down_trend
1113,no_trend,up_trend
1114,no_trend,up_trend
1115,no_trend,up_trend
1116,no_trend,up_trend
1117,no_trend,up_trend
1118,up_trend,down_trend
1119,no_trend,no_trend
1120,down_trend,no_trend
1121,no_trend,no_trend
1122,no_trend,up_trend
1123,up_trend,no_trend
1124,no_trend,up_trend
1125,down_trend,down_trend
1126,no_trend,no_trend
1127,down_trend,up_trend
1128,no_trend,no_trend
1129,no_trend,up_trend
1130,no_trend,up_trend
1131,up_trend,no_trend
1132,no_trend,up_trend
1133,no_trend,no_trend
1134,no_trend,down_trend
1135,up_trend,no_trend
1136,no_trend,no_trend
1137,no_trend,no_trend
1138,no_trend,no_trend
1139,no_trend,up_trend
1140,no_trend,no_trend
1141,no_trend,up_trend
1142,no_trend,down_trend
1143,up_trend,no_trend
1144,down_trend,up_trend
1145,no_trend,no_trend
1146,no_trend,no_trend
1147,no_trend,no_trend
1148,no_trend,up_trend
1149,no_trend,no_trend
1150,no_trend,up_trend
1151,no_trend,no_trend
